Device: cuda
Calculated Mean: tensor([0.7715, 0.8988, 0.9856])
Calculated Std: tensor([0.2449, 0.1588, 0.0835])
Dataset: map, Train set: 7350, Val set: 1575
Mean: tensor([-1.5734e-06,  1.4748e-06,  2.0398e-06])
Std: tensor([1.0000, 1.0000, 1.0000])
[!] Training from scratch
Epoch 1, Itrs 10/30000, Loss=0.636611
Epoch 1, Itrs 20/30000, Loss=0.100780
Epoch 1, Itrs 30/30000, Loss=0.077388
Epoch 1, Itrs 40/30000, Loss=0.062186
Epoch 1, Itrs 50/30000, Loss=0.056111
Epoch 1, Itrs 60/30000, Loss=0.055391
Epoch 1, Itrs 70/30000, Loss=0.044741
Epoch 1, Itrs 80/30000, Loss=0.047191
Epoch 1, Itrs 90/30000, Loss=0.047634
Epoch 1, Itrs 100/30000, Loss=0.044135
Epoch 1, Itrs 110/30000, Loss=0.046370
Epoch 1, Itrs 120/30000, Loss=0.044508
Epoch 1, Itrs 130/30000, Loss=0.047965
Epoch 1, Itrs 140/30000, Loss=0.044697
Epoch 1, Itrs 150/30000, Loss=0.040282
Epoch 1, Itrs 160/30000, Loss=0.039549
Epoch 1, Itrs 170/30000, Loss=0.042974
Epoch 1, Itrs 180/30000, Loss=0.041309
Epoch 1, Itrs 190/30000, Loss=0.040764
Epoch 1, Itrs 200/30000, Loss=0.038649
Epoch 1, Itrs 210/30000, Loss=0.040368
Epoch 1, Itrs 220/30000, Loss=0.040342
Epoch 1, Itrs 230/30000, Loss=0.039240
Epoch 1, Itrs 240/30000, Loss=0.037590
Epoch 1, Itrs 250/30000, Loss=0.043187
Epoch 1, Itrs 260/30000, Loss=0.037468
Epoch 1, Itrs 270/30000, Loss=0.038046
Epoch 1, Itrs 280/30000, Loss=0.040569
Epoch 1, Itrs 290/30000, Loss=0.041238
Epoch 1, Itrs 300/30000, Loss=0.037305
Epoch 1, Itrs 310/30000, Loss=0.039932
Epoch 1, Itrs 320/30000, Loss=0.040544
Epoch 1, Itrs 330/30000, Loss=0.041852
Epoch 1, Itrs 340/30000, Loss=0.039336
Epoch 1, Itrs 350/30000, Loss=0.040454
Epoch 1, Itrs 360/30000, Loss=0.036695
Epoch 1, Itrs 370/30000, Loss=0.040103
Epoch 1, Itrs 380/30000, Loss=0.034061
Epoch 1, Itrs 390/30000, Loss=0.034866
Epoch 1, Itrs 400/30000, Loss=0.034270
Epoch 1, Itrs 410/30000, Loss=0.037171
Epoch 1, Itrs 420/30000, Loss=0.037579
Epoch 1, Itrs 430/30000, Loss=0.044275
Epoch 1, Itrs 440/30000, Loss=0.036571
Epoch 1, Itrs 450/30000, Loss=0.037745
Epoch 1, Itrs 460/30000, Loss=0.037351
Epoch 1, Itrs 470/30000, Loss=0.036457
Epoch 1, Itrs 480/30000, Loss=0.038610
Epoch 1, Itrs 490/30000, Loss=0.038480
Epoch 1, Itrs 500/30000, Loss=0.033155
Model saved as checkpoints/latest_deeplabv3plus_resnet50_map_os16.pth
validation...

Overall Acc: 0.984825
Mean Acc: 0.644612
FreqW Acc: 0.972272
Mean IoU: 0.601207

Model saved as checkpoints/best_deeplabv3plus_resnet50_map_os16.pth
Epoch 1, Itrs 510/30000, Loss=0.035746
Epoch 1, Itrs 520/30000, Loss=0.035004
Epoch 1, Itrs 530/30000, Loss=0.034102
Epoch 1, Itrs 540/30000, Loss=0.035303
Epoch 1, Itrs 550/30000, Loss=0.036358
Epoch 1, Itrs 560/30000, Loss=0.036659
Epoch 1, Itrs 570/30000, Loss=0.030773
Epoch 1, Itrs 580/30000, Loss=0.035676
Epoch 1, Itrs 590/30000, Loss=0.038523
Epoch 1, Itrs 600/30000, Loss=0.038001
Epoch 1, Itrs 610/30000, Loss=0.033957
Epoch 1, Itrs 620/30000, Loss=0.034663
Epoch 1, Itrs 630/30000, Loss=0.038863
Epoch 1, Itrs 640/30000, Loss=0.033729
Epoch 1, Itrs 650/30000, Loss=0.030959
Epoch 1, Itrs 660/30000, Loss=0.034270
Epoch 1, Itrs 670/30000, Loss=0.039661
Epoch 1, Itrs 680/30000, Loss=0.033440
Epoch 1, Itrs 690/30000, Loss=0.035024
Epoch 1, Itrs 700/30000, Loss=0.034312
Epoch 1, Itrs 710/30000, Loss=0.034913
Epoch 1, Itrs 720/30000, Loss=0.034799
Epoch 1, Itrs 730/30000, Loss=0.036871
