Device: cuda
Calculated Mean: tensor([0.7715, 0.8988, 0.9856])
Calculated Std: tensor([0.2449, 0.1588, 0.0835])
Dataset: map, Train set: 7350, Val set: 1575
[!] Training from scratch
Epoch 1, Itrs 10/30000, Loss=0.936207
Epoch 1, Itrs 20/30000, Loss=0.820800
Epoch 1, Itrs 30/30000, Loss=0.632743
Epoch 1, Itrs 40/30000, Loss=0.483061
Epoch 1, Itrs 50/30000, Loss=0.409005
Epoch 1, Itrs 60/30000, Loss=0.385413
Epoch 1, Itrs 70/30000, Loss=0.361988
Epoch 1, Itrs 80/30000, Loss=0.340067
Epoch 1, Itrs 90/30000, Loss=0.328487
Epoch 1, Itrs 100/30000, Loss=0.338152
Epoch 1, Itrs 110/30000, Loss=0.322206
Epoch 1, Itrs 120/30000, Loss=0.326671
Epoch 1, Itrs 130/30000, Loss=0.323282
Epoch 1, Itrs 140/30000, Loss=0.315330
Epoch 1, Itrs 150/30000, Loss=0.295083
Epoch 1, Itrs 160/30000, Loss=0.291466
Epoch 1, Itrs 170/30000, Loss=0.301345
Epoch 1, Itrs 180/30000, Loss=0.303270
Epoch 1, Itrs 190/30000, Loss=0.290240
Epoch 1, Itrs 200/30000, Loss=0.296460
Epoch 1, Itrs 210/30000, Loss=0.295213
Epoch 1, Itrs 220/30000, Loss=0.298422
Epoch 1, Itrs 230/30000, Loss=0.283969
Epoch 1, Itrs 240/30000, Loss=0.294484
Epoch 1, Itrs 250/30000, Loss=0.285830
Epoch 1, Itrs 260/30000, Loss=0.289430
Epoch 1, Itrs 270/30000, Loss=0.283991
Epoch 1, Itrs 280/30000, Loss=0.275009
Epoch 1, Itrs 290/30000, Loss=0.280868
Epoch 1, Itrs 300/30000, Loss=0.283261
Epoch 1, Itrs 310/30000, Loss=0.275797
Epoch 1, Itrs 320/30000, Loss=0.285341
Epoch 1, Itrs 330/30000, Loss=0.282284
Epoch 1, Itrs 340/30000, Loss=0.294424
Epoch 1, Itrs 350/30000, Loss=0.270908
Epoch 1, Itrs 360/30000, Loss=0.275767
Epoch 1, Itrs 370/30000, Loss=0.269020
Epoch 1, Itrs 380/30000, Loss=0.269290
Epoch 1, Itrs 390/30000, Loss=0.266338
Epoch 1, Itrs 400/30000, Loss=0.264886
Epoch 1, Itrs 410/30000, Loss=0.263581
Epoch 1, Itrs 420/30000, Loss=0.271866
Epoch 1, Itrs 430/30000, Loss=0.271731
Epoch 1, Itrs 440/30000, Loss=0.282884
Epoch 1, Itrs 450/30000, Loss=0.263899
Epoch 2, Itrs 460/30000, Loss=0.261761
Epoch 2, Itrs 470/30000, Loss=0.258594
Epoch 2, Itrs 480/30000, Loss=0.271806
Epoch 2, Itrs 490/30000, Loss=0.253852
Epoch 2, Itrs 500/30000, Loss=0.271187
Epoch 2, Itrs 510/30000, Loss=0.255629
Epoch 2, Itrs 520/30000, Loss=0.263565
Epoch 2, Itrs 530/30000, Loss=0.260935
Epoch 2, Itrs 540/30000, Loss=0.255575
Epoch 2, Itrs 550/30000, Loss=0.259474
Epoch 2, Itrs 560/30000, Loss=0.238103
Epoch 2, Itrs 570/30000, Loss=0.251848
Epoch 2, Itrs 580/30000, Loss=0.256035
Epoch 2, Itrs 590/30000, Loss=0.231949
Epoch 2, Itrs 600/30000, Loss=0.238137
Epoch 2, Itrs 610/30000, Loss=0.240517
Epoch 2, Itrs 620/30000, Loss=0.255202
Epoch 2, Itrs 630/30000, Loss=0.247110
Epoch 2, Itrs 640/30000, Loss=0.250203
Epoch 2, Itrs 650/30000, Loss=0.245328
Epoch 2, Itrs 660/30000, Loss=0.246259
Epoch 2, Itrs 670/30000, Loss=0.250413
Epoch 2, Itrs 680/30000, Loss=0.242464
Epoch 2, Itrs 690/30000, Loss=0.244970
Epoch 2, Itrs 700/30000, Loss=0.232954
Epoch 2, Itrs 710/30000, Loss=0.242968
Epoch 2, Itrs 720/30000, Loss=0.234879
Epoch 2, Itrs 730/30000, Loss=0.238789
Epoch 2, Itrs 740/30000, Loss=0.232638
Epoch 2, Itrs 750/30000, Loss=0.240025
Epoch 2, Itrs 760/30000, Loss=0.232263
Epoch 2, Itrs 770/30000, Loss=0.223093
Epoch 2, Itrs 780/30000, Loss=0.245465
Epoch 2, Itrs 790/30000, Loss=0.237012
Epoch 2, Itrs 800/30000, Loss=0.223916
